routeId,time_period,ridership_count,routeName
54543.0,Evening,14.066666666666666,EE Route
54543.0,Late Night,10.489795918367347,EE Route
54543.0,Midday,11.8,EE Route
54543.0,Morning,16.333333333333332,EE Route
54543.0,Rush Hour,3.05,EE Route
54545.0,Late Night,15.179487179487179,LX Route
54545.0,Midday,8.2,LX Route
54545.0,Morning,15.76388888888889,LX Route
54551.0,Evening,6.25,REXL Route
54551.0,Late Night,17.020408163265305,REXL Route
54551.0,Midday,6.2,REXL Route
54551.0,Morning,10.708333333333334,REXL Route
55368.0,Midday,28.0,H Route
55368.0,Morning,10.01388888888889,H Route
59451.0,Evening,5.0,B/L Loop
59451.0,Late Night,3.36734693877551,B/L Loop
59451.0,Midday,0.4,B/L Loop
59451.0,Morning,2.25,B/L Loop
59451.0,Rush Hour,2.9130434782608696,B/L Loop
