id,stop_id,time_arrived,time_departed,break_duration,routeId,routeName
4855,18,2025-10-01 17:02:57.747939+00:00,2025-10-01 17:04:09.184819+00:00,71.43688,54551.0,REXL Route
4855,16,2025-10-01 17:06:47.710456+00:00,2025-10-01 17:06:56.554134+00:00,8.843678,54551.0,REXL Route
4855,12,2025-10-01 17:15:27.969026+00:00,2025-10-01 17:16:47.321855+00:00,79.352829,54551.0,REXL Route
4855,13,2025-10-01 17:17:31.477420+00:00,2025-10-01 17:19:16.498779+00:00,105.021359,54551.0,REXL Route
4855,17,2025-10-01 17:35:03.811622+00:00,2025-10-01 17:38:07.515208+00:00,183.703586,54551.0,REXL Route
4855,18,2025-10-01 17:39:18.082787+00:00,2025-10-01 17:40:37.457860+00:00,79.375073,54551.0,REXL Route
4855,16,2025-10-01 17:43:57.799210+00:00,2025-10-01 17:44:06.685564+00:00,8.886354,54551.0,REXL Route
4855,12,2025-10-01 17:56:14.389764+00:00,2025-10-01 17:58:25.534140+00:00,131.144376,54551.0,REXL Route
4855,13,2025-10-01 17:59:17.769493+00:00,2025-10-01 18:01:04.453599+00:00,106.684106,54551.0,REXL Route
4855,17,2025-10-01 18:15:37.248509+00:00,2025-10-01 18:20:36.639682+00:00,299.391173,54551.0,REXL Route
4855,18,2025-10-01 18:21:21.196418+00:00,2025-10-01 18:22:22.939860+00:00,61.743442,54551.0,REXL Route
4855,16,2025-10-01 18:25:09.136187+00:00,2025-10-01 18:25:18.076096+00:00,8.939909,54551.0,REXL Route
4855,12,2025-10-01 18:34:40.897019+00:00,2025-10-01 18:36:26.206477+00:00,105.309458,54551.0,REXL Route
4855,13,2025-10-01 18:37:27.851684+00:00,2025-10-01 18:39:49.711814+00:00,141.86013,54551.0,REXL Route
4855,17,2025-10-01 18:54:48.579867+00:00,2025-10-01 19:11:10.994838+00:00,982.414971,54551.0,REXL Route
4855,18,2025-10-01 19:11:55.332010+00:00,2025-10-01 19:12:22.176956+00:00,26.844946,54551.0,REXL Route
4855,16,2025-10-01 19:17:04.141279+00:00,2025-10-01 19:17:13.086964+00:00,8.945685,54551.0,REXL Route
4855,12,2025-10-01 19:26:59.990672+00:00,2025-10-01 19:28:36.207508+00:00,96.216836,54551.0,REXL Route
4855,13,2025-10-01 19:29:54.512069+00:00,2025-10-01 19:30:47.260365+00:00,52.748296,54551.0,REXL Route
4855,17,2025-10-01 19:58:43.889063+00:00,2025-10-01 20:01:53.412094+00:00,189.523031,54551.0,REXL Route
4855,18,2025-10-01 20:02:48.335003+00:00,2025-10-01 20:04:17.507515+00:00,89.172512,54551.0,REXL Route
